id,name,year,running_time,rating,image,image_content_type,imdb_url,genre_id,director_id
1,300,2007,6720,ALL,NULL,NULL,NULL,8,301
2,1408,2007,5640,ALL,NULL,NULL,NULL,9,152
3,2012,2009,9480,ALL,NULL,NULL,NULL,1,301
4,"007 - 00 James Bond Story, The",1999,3600,ALL,NULL,NULL,NULL,10,128
5,007 - 00 Never Say Never Again (Sag niemals nie),1983,8220,ALL,NULL,NULL,NULL,10,136
6,"007 - 10 Spy Who Loved Me, The",1977,7500,ALL,NULL,NULL,NULL,10,137
7,007 - 17 GoldenEye,1995,7800,ALL,NULL,NULL,NULL,10,152
8,"007 - 19 World Is Not Enough, The",1999,7680,ALL,NULL,NULL,NULL,10,152
9,007 - 20 Die Another Day (Stirb an einem anderen Tag),2002,6600,ALL,NULL,NULL,NULL,10,137
10,007 - 21 Casino Royale,2006,8340,ALL,NULL,NULL,NULL,10,152
11,007 - 22 Quantum of Solace (Ein Quantum Trost),2008,6360,ALL,NULL,NULL,NULL,10,137
12,007 - 23 Skyfall,2012,8580,ALL,../fake-data/blob/007-Skyfall.jpg,jpg,https://www.imdb.com/title/tt1074638/,10,301
13,007 - 24 Spectre,2015,8880,ALL,NULL,NULL,NULL,10,301
14,10.000 BC,2008,6240,ALL,NULL,NULL,NULL,1,301
15,A Bug's Life (Das grosse Krabbeln),1999,5580,ALL,NULL,NULL,NULL,2,137
16,About a Boy,2002,6720,ALL,NULL,NULL,NULL,3,295
17,Aeon Flux,2005,5340,ALL,NULL,NULL,NULL,15,137
18,Air,2015,5700,ALL,NULL,NULL,NULL,15,128
19,Akte Jane (G.I. Jane),1997,7500,ALL,NULL,NULL,NULL,11,301
20,Aladdin,1992,5400,ALL,NULL,NULL,NULL,2,301
21,Alexander,2004,10380,ALL,NULL,NULL,NULL,8,295
22,Along Came Polly (… und dann kam Polly),2004,5400,ALL,NULL,NULL,NULL,3,137
23,American Princess,2004,6000,ALL,NULL,NULL,NULL,16,128
24,"American, The",2010,6180,ALL,NULL,NULL,NULL,4,128
25,Amistad,1997,9120,ALL,NULL,NULL,NULL,6,301
26,Anna Karenina,1997,6480,ALL,NULL,NULL,NULL,6,128
27,Annie,1982,7620,ALL,NULL,NULL,NULL,16,137
28,Argo,2012,7200,ALL,NULL,NULL,NULL,6,128
29,Art of War,2000,7020,ALL,NULL,NULL,NULL,1,128
30,Asterix in Amerika,2003,4860,ALL,NULL,NULL,NULL,2,136
31,Australia,2008,9900,ALL,NULL,NULL,NULL,6,128
32,Avatar,2009,9720,ALL,NULL,NULL,NULL,15,136
33,Babel,2006,8280,ALL,NULL,NULL,NULL,6,128
34,Bambi,2011,4020,ALL,NULL,NULL,NULL,2,301
35,Band of Brothers,2004,46920,ALL,NULL,NULL,NULL,11,301
