id,name
1,Zack Snyder
2,Mikael Håfström
3,Roland Emmerich
4,Chris Hunt
5,Irvin Kershner
6,Lewis Gilbert
7,Martin Campbell
8,Michael Apted
9,Lee Tamahori
10,Marc Forster
11,Sam Mendes
12,John Lasseter
13,Paul & Chris Weitz
14,Karyn Kusama
15,Christian Cantamessa
16,Ridley Scott
17,Walt Disney
18,Oliver Stone
19,John Hamburg
20,Andy Cadiff
21,Anton Corbijn
22,Steven Spielberg
23,Bernard Rose
24,John Huston
25,Ben Affleck
26,Christian Duguay
27,Goscinny & Uderzo
28,Baz Luhrmann
29,James Cameron
30,Alejandro González Iñárritu
31,Joachim Roenning
32,Conrad Helten
33,Christopher Nolan
34,Peter Berg
35,Ron Howard
36,Richard Linklater
37,John Robins
38,Neil LaBute
39,Michael Hoffman
40,Tim Burton
41,Darren Aronofsky
42,Edward Zwick
43,Ted Demme
44,Mick Jackson
45,Phillip Noyce
46,"Albert Hughes, Allen Hughes"
47,Andrzej Bartkowiak
48,Don Roos
49,Doug Liman
50,Paul Greengrass
51,Michael Moore
52,Anthony Minghella
53,Beeban Kidron
54,Sharon Maguire
55,Terry Gilliam
56,Guy Ritchie
57,Eric Bress
58,John R. Leonetti
59,John Madden
60,Ivan Engler
61,"Pixar, Walt Disney"
62,Michael Curtiz
63,Federico Fellini
64,Lasse Hallström
65,Robert Zemeckis
66,Pitof
67,Tony Giglio
68,Mike Nichols
69,Steven Soderbergh
70,Alfonso Cuarón
71,Brad Silberling
72,Matt Reeves
73,Fernando Meirelles
74,Francis Lawrence
75,Jon Turteltaub
76,Jon Favreau
77,David McNally
78,Vincenzo Natali
79,Richard Dale
80,Roger Donaldson
81,Mark Steven Johnson
82,Walter Salles
83,Tim Robbins
84,Quentin Tarantino
85,Tony Scott
86,Martin Scorsese
87,Guy Ferland (I)
88,Guy Ferland
89,Neill Blomkamp
90,Rawson M. Thurber
91,Kevin Smith
92,Shekhar Kapur
93,Cameron Crowe
94,Tommy O'Haver
95,Douglas McGrath
96,Stefen Fangmeier
97,Bruce Beresford
98,F. Gary Gray
99,Thomas Bezucha
100,Tim Story
101,Joel & Ethan Coen
102,Rob Cohen
103,Luc Besson
104,Sam Taylor-Johnson
105,James Foley
106,David Fincher
107,David R. Ellis
108,Omar Naim
109,James Wong
110,David Ellis
111,Gus Van Sant
112,Clint Eastwood
113,Gregory Hoblit
114,The Hughes Brothers
115,Stanley Kubrick
116,Andrew Niccol
117,Rob Marshall
118,Steve Beck
119,Roman Polanski
120,Tate Taylor
121,Antoine Fuqua
122,Chris Weitz
123,Barry Levinson
124,Robert De Niro
125,Mathieu Kassovitz
126,Michael Gracey
127,Michael Steiner
128, Ronan Bennett
129,Craig Rosenberg
130,John Irvin
131,Todd Phillips
132,M. Night Shyamalan
133,George Miller
134,Chris Columbus
135,Mike Newell
136,David Yates
137,John Duigan
138,Scott Hicks
139,"Ron Clements, John Musker"
140,Vincent Ward
141,David Cronenberg
142,Andy Tennant
143,Tommy Lee Jones
144,Mark Herman
145,Florent Siri
146,Terry George
147,Genndy Tartakovsky
148,Cedric Nicolas-Troyan
149,Alex Proyas
150,Fred Schepisi
151,Chris Wedge
152,Carlos Saldanha
153,"Steve Martino, Mike Thurmeier"
154,Pierre Coffin
155,James Mangold
156,Neil Burger
157,Charles Ferguson
158,Spike Lee
159,Michael Mann
160,Tom Tykwer
161,Michael Bay
162,John Maybury
163,Jon Jones
164,Colin Trevorrow
165,J.A. Bayona
166,Iain Softley
167,Edward Norton
168,Roland Joffe
169,Matthew Vaughn
170,Shane Black
171,"Joachim Rønning, Espen Sandberg"
172,Ruairi Robinson
173,Kevin MacDonald
174,Ed Zwick
175,Peter Howitt
176,John Glenn
177,Stephen Norrington
178,Giuseppe Tornatore
179,Tom Hooper
180,Gary Winick
181,Alan Parker
182,Roger Allers
183,Marton / Annakin
184,Peter Jackson
185,J. J. Abrams
186,Gavin Hood
187,Eric Darnell
188,Frederik Du Chau
189,Paul Thomas Anderson
190,Mike Binder
191,Tony Goldwyn
192,Robert Stevenson
193,Peter Weir
194,Wachowski Brothers
195,John Moore
196,Jay Roach
197,Harold Becker
198,Thomas Carter
199,Gore Verbinski
200,Guillermo Del Toro
201,Donald Petrie
202,John Pasquin
203,Brian De Palma
204,John Woo
205,Patty Jenkins
206,Dan Scanlon
207,Terry Jones
208,George Clooney
209,Diverse
210,"B. Cook, T. Bancroft"
211,"Darrell Rooney, Lynne Southerland"
212,Ivan Reitman
213,Andrew Adamson
214,Pal Sletaune
215,Shawn Levy
216,Michael Hegner
217,Ethan Coen
218,Roger Michell
219,Joseph Kosinski
220,Eric Bross
221,ABC Studios
222,Reto Salimbeni
223,Bryan Singer
224,Alejandro Amenabar
225,Alex de la Iglesia
226,Richard LaGravenese
227,Dylan Kidd
228,Jeremy Podeswa
229,Dominic Sena
230,Franklin J. Schaffner
231,Mark Rosman
232,David Twohy
233,Sean Penn
234,Mike Gabriel
235,Wolfgang Petersen
236,Martha Coolidge
237,Peter Hewitt
238,Sylvester Stallone
239,Antony Hoffman
240,Paul Anderson
241,Alexander Witt
242,Russell Mulcahy
243,Kevin Reynolds
244,John Frankenheimer
245,Clark Johnson
246,Daniel Espinosa
247,Breck Eisner
248,Brad Peyton
249,John Lee Hancock
250,Frank Oz
251,Gordon Parks Sr.
252,Adamson & Jenson
253,Alexander Payne
254,Christophe Gans
255,Frank Miller
256,Mike Mitchell
257,Guy Jenkin
258,Danny Boyle
259,Felix Fuchssteiner
260,Rupert Sanders
261,Joon-ho Bong
262,Jan De Bont
263,Sam Raimi
264,George Lucas
265,Richard Marquand
266,Rian Johnson
267,Norman Jewison
268,Anne Fletcher
269,Joe Wright
270,Gabriele Muccino
271,Anthony Waller
272,Joe Shuster
273,Robert Singer
274,Stephen Gaghan
275,D.J. Caruso
276,Brian Smith
277,Jonathan Mostow
278,Terrence Malick
279,Richard Donner
280,Steve Loter
281,Bradley Raymond
282,Simon West
283,Ben Stiller
284,Kurt Wimmer
285,Audrey Wells
286,Len Wiseman
287,Patrick Tatopoulos
288,Louis Leterrier
289,James McTeigue
290,Ron Clemens
291,Stephen Sommers
292,Mira Nair
293,Fredi M. Murer
294,Andrew Stanton
295,DreamWorks
296,Randall Wallace
297,Clare Kilner
298,Ron Shelton
299,Peter Kosminsky
300,Akiva Goldsman
301,James Watkins
