id;start_time;end_time;movie_id;cinema_id
1;2020-08-27T06:51:54;2020-08-27T21:08:42;1;1
2;2020-08-27T02:57:53;2020-08-27T15:19:13;2;2
3;2020-08-27T09:35:49;2020-08-27T04:03:19;3;3
4;2020-08-27T18:49:47;2020-08-27T21:34:02;4;4
5;2020-08-27T12:48:30;2020-08-27T05:35:01;5;5
6;2020-08-27T18:30:19;2020-08-27T07:02:49;6;6
7;2020-08-27T08:08:04;2020-08-26T23:10:55;7;7
8;2020-08-27T17:55:05;2020-08-27T21:27:58;8;8
9;2020-08-27T10:30:27;2020-08-27T07:25:38;9;9
10;2020-08-27T05:54:49;2020-08-27T16:38:22;10;10
