id;name;email;town;province;phone;urlgmaps;latitude;longitude
1;Unbranded Metal Table Wooden;Reina_Nitzsche@hotmail.com;directional Grocery;transmit primary;(721) 801-7657;green bus Table;3502;63802
2;Sports Garden strategize;Alize.Stokes@gmail.com;global quantifying;overriding;1-568-617-0215 x7613;Health Global Intelligent;55581;57217
3;index Usability Rubber;Queen_Goyette59@hotmail.com;whiteboard Forward Up-sized;JSON;516.182.2822 x690;Reactive;62249;88191
4;ROI;Orie_Goyette56@gmail.com;synthesizing Equatorial Guinea;Administrator invoice;1-391-979-1543 x8516;Shirt;75329;51843
5;Brunei Darussalam;Hattie47@hotmail.com;deposit mindshare synthesize;program digital;308.207.4095 x0002;Swiss Franc hardware;82702;17550
6;Jewelery neural reintermediate;Eddie.Kris79@hotmail.com;infrastructures Licensed Rubber Table;one-to-one;(336) 701-2663 x401;redefine;54467;64346
7;Egyptian Pound withdrawal bypassing;Carlee_Jacobi@hotmail.com;Micronesia;reboot structure;1-492-262-8799 x1591;generating;81455;59481
8;Yen Table;Ayana_Hane@hotmail.com;Grocery;Flat Forward;(472) 594-6716 x020;Idaho;57808;31080
9;Table hack;George_Runte94@hotmail.com;SQL;visionary;460.251.4387;local microchip Cloned;16046;13904
10;disintermediate Delaware;Marcelina.Lynch89@gmail.com;wireless mobile program;Monaco;878.909.3071 x3511;Movies Loaf Soft;70309;81563
